#
# USGS NWISWeb site number list
#
# This file can be used to retrieve data from the
# USGS NWISWeb internet based retrieval system using
# the 'File of site Numbers' search criteria.
#
# This file can be edited, but the number of columns
# must be equal for each row, and the 'site_no' column
# must remain.
#
# The columns include:
#  agency_cd  -- Agency code.  If no value is found, 'USGS' is assumed
#  site_no    -- USGS site number
#  station_nm -- USGS site name. This column is include for viewing only,
#                                it is not used by the nwisweb system.
#
agency_cd	site_no	station_nm
USGS	01665270	STAUNTON RIVER NEAR GRAVES MILL, VA
USGS	01665285	RAPIDAN RIVER AT RT 662 NEAR WOLFTOWN, VA
USGS	01665300	RAPIDAN RIVER NEAR STANARDSVILLE, VA
USGS	01665340	CONWAY RIVER NEAR KINDERHOOK, VA
USGS	01665343	CONWAY RIVER TRIB NEAR KINDERHOOK, VA
USGS	01665400	CONWAY RIVER NEAR STANARDSVILLE, VA
USGS	01665432	SOUTH RIVER ABOVE PARK BOUNDARY NEAR MCMULLEN, VA
USGS	01665440	SOUTH RIVER NEAR MCMULLEN, VA
USGS	01665450	SOUTH RIVER NEAR STANARDSVILLE, VA
USGS	01665500	RAPIDAN RIVER NEAR RUCKERSVILLE, VA
USGS	01665545	MARSH RUN AT RT 644 NEAR EHEART, VA
USGS	01665550	MARSH RUN NEAR SOMERSET, VA
USGS	01665557	RAPIDAN RIVER AT RT 231 NEAR SOMERSET, VA
USGS	01665570	BLUE RUN AT BARBOURSVILLE, VA
USGS	01665577	BLUE RUN AT RT 20 NEAR SOMERSET, VA
USGS	01665580	BLUE RUN NEAR SOMERSET, VA
USGS	01665600	POPLAR RUN NR MADISON MILLS, VA
USGS	01665630	RAPIDAN RIVER AT HWY 15 AT MADISON MILLS, VA
USGS	01665650	RAPIDAN RIVER TRIB AT RT 634 NR MADISON MILLS, VA
USGS	01665709	ROBINSON RIVER TRIB AT PARK BOUNDARY NR SYRIA, VA
USGS	01665710	ROBINSON RIVER TRIBUTARY AT TRAIL NEAR SYRIA, VA
USGS	01665720	BERRY HOLLOW TRIB NEAR NETHERS, VA
USGS	01665730	CEDAR RUN NEAR SYRIA, VA
USGS	01665740	ROBINSON RIVER NEAR SYRIA, VA
USGS	0166578040	HOGCAMP BRANCH TRIB AT BIG MEADOWS, VA
USGS	0166578545	HOGCAMP BRANCH ALONG LOOP TRAIL NEAR SYRIA, VA
USGS	0166579935	CLIMBING ROSE FALLS AB ROSE RIVER NEAR SYRIA, VA
USGS	01665800	ROSE RIVER NEAR SYRIA, VA
USGS	01665850	ROBINSON RIVER AT RT 231 NEAR CRIGLERSVILLE, VA
USGS	01666000	ROBINSON RIVER AT LOCUST DALE, VA
USGS	01666500	ROBINSON RIVER NEAR LOCUST DALE, VA
USGS	01666990	RAPIDAN RIVER AT RT 615 AT RAPIDAN, VA
USGS	01667000	RAPIDAN RIVER AT RAPIDAN, VA
USGS	01667500	RAPIDAN RIVER NEAR CULPEPER, VA
USGS	01667510	RAPIDAN RIVER AT U.S. HWY 522 NEAR CULPEPER, VA
USGS	01667600	CEDAR RUN TRIB NEAR CULPEPER, VA
USGS	01667650	CEDAR RUN NEAR CULPEPER, VA
USGS	01667670	LONG BRANCH NR RACCOON FORD, VA
USGS	01667700	SUMERDUCK RUN NEAR CULPEPER, VA
USGS	01667750	POTATO RUN NEAR STEVENSBURG, VA
USGS	01667820	MINE RUN NEAR LOCUST GROVE, VA
USGS	01667840	BLACK WALNUT RUN NR RHOADESVILLE, VA
USGS	01667848	BLACK WALNUT RUN AT BURR HILL, VA
USGS	01667850	MINE RUN AT BURR HILL, VA
USGS	01667860	MOUNTAIN RUN NR UNIONVILLE, VA
USGS	01667870	MOUNTAIN RUN NEAR BURR HILL, VA
USGS	01667880	RUSSELL RUN NEAR FLAT RUN, VA
USGS	01667882	RAPIDAN RIVER AT RT 3 NEAR FLAT RUN, VA
USGS	01667890	FLAT RUN NEAR FLAT RUN, VA
USGS	01667900	KEATONS RUN TRIB AT WILDERNESS, VA
USGS	01667905	KEATON RUN AT WILDERNESS, VA
USGS	01667910	WILDERNESS RUN AT WILDERNESS, VA
USGS	01667915	SHOTGUN HILL BRANCH NEAR WILDERNESS, VA
USGS	01667920	RAPIDAN RIVER AT RT 610 NEAR RICHARDSVILLE, VA
USGS	01667950	RAPPAHANNOCK RIV AB MOTTS RN NR FREDERICKSBURG, VA
USGS	0166799050	GALEN RUN TRIBUTARY NEAR FREDERICKSBURG, VA
USGS	01668000	RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA
USGS	01668020	RAPPAHANNOCK R AT VEPCO DAM AT FREDERICKBURG, VA
USGS	01668030	RAPPAHANNOCK RIVER AT FREDERICKSBURG, VA
USGS	01668035	CLAIBORNE RUN AT RT 623 NEAR FALMOUTH, VA
USGS	01668038	CLAIBORNE RUN BELOW RT 3 AT FREDERICKSBURG, VA
USGS	01668045	HAZEL RUN AT RT 1 AT FREDERICKSBURG, VA
USGS	01668048	HAZEL RUN AT RT 17 AT FREDERICKSBURG, VA
USGS	01668064	MASSAPONAX CREEK AT RT 208 NEAR FOUR MILE FORK, VA
USGS	01668067	MASSAPONAX CREEK AT RT 1 NEAR FOUR MILE FORK, VA
USGS	01668075	MASSAPONAX CREEK AT RT 609 NEAR NEW POST, VA
USGS	01668100	WHITE OAK RUN NEAR PASSAPATANZY, VA
USGS	0166813550	BIRCHWOOD RUN TRIBUTARY AT KING GEORGE, VA
USGS	0166814550	RAPPAHANNOCK RIVER TRIB NEAR GRAVES CORNER, VA
USGS	0166816046	MOUNT CR UNNAMED TRIB NR RAPPAHANNOCK ACADEMY, VA
USGS	0166816065	MOUNT CREEK AT RTE 17 NR RAPPAHANNOCK ACADEMY, VA
USGS	0166817321	GOLDENVALE CR TR 380 YDS AB MTH NR PORT ROYAL, VA
USGS	0166817331	GOLDENVALE CR TR 160 YDS AB MTH NR PORT ROYAL, VA
USGS	0166817334	GOLDENVALE CR AB DOCTOR BRANCH NR PORT ROYAL, VA
USGS	0166818510	UNNAMED TRIB TO HERN POND AT FORT A P HILL, VA
USGS	0166818623	MILL CREEK ABV PEUMANSEND CREEK NR PORT ROYAL, VA
USGS	0166818985	MILL CREEK BLW PEUMANSEND CREEK NR PORT ROYAL, VA
USGS	0166819058	MILL CREEK AT LUMKIN ROAD NEAR PORT ROYAL, VA
USGS	0166819110	UNNAMED TRIB TO MILLERS POND AT FORT A P HILL, VA
USGS	01668200	GINGOTEAGUE RUN NEAR PORT ROYAL, VA
USGS	0166821054	PORTOBAGO CR AT ENON CHURCH RD NR PORT ROYAL, VA
USGS	0166821057	PORTOBAGO CR BL ENON CHURCH RD NR PORT ROYAL, VA
USGS	0166821093	PORTOBAGO RUN NEAR PORT ROYAL, VA
USGS	0166821355	PORTOBAGO CREEK AT ROUTE 17 NEAR PORT ROYAL, VA
USGS	0166828210	OCCUPACIA TRIBUTARY NEAR CHAMPLAIN, VA
USGS	0166828230	OCCUPACIA CREEK AT HWY 17 NEAR CHANCE, VA
USGS	01668300	FARMERS HALL CREEK NEAR CHAMPLAIN, VA
USGS	01668305	FARMERS HALL CREEK AT RT 631 NEAR CHAMPLAIN, VA
USGS	01668450	RUIN BRANCH TRIBUTARY AT MONTROSS, VA
USGS	01668500	CAT POINT CREEK NEAR MONTROSS, VA
USGS	01668700	MOUNT LANDING CREEK AT RT 716 NR MOUNT LANDING, VA
USGS	01668800	HOSKINS CREEK NEAR TAPPAHANNOCK, VA
USGS	0166895010	PISCATAWAY CREEK TRIBUTARY AT ROUTE 650
USGS	0166898210	STURGEONS SWAMP AT ROUTE 642 NEAR DUNBROOKE, VA
USGS	01669000	PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA
USGS	01669100	TOTUSKEY CREEK NEAR EMMERTON, VA
USGS	01669120	GARLANDS MILLPOND TRIBUTARY NEAR HAYNESVILLE, VA
USGS	01669150	BELWOOD SWAMP NEAR LANCASTER, VA
USGS	0166928810	DRAGON RUN TRIBUTARY NEAR HOWERTONS, VA
USGS	01669300	YORKERS SWAMP NEAR CENTER CROSS, VA
USGS	01669400	TIMBER BRANCH SWAMP TRIB AT DRAGONVILLE, VA
USGS	01669500	DRAGON SWAMP NEAR CHURCH VIEW, VA
USGS	01669520	DRAGON SWAMP AT MASCOT, VA
USGS	01669800	MY LADYS SWAMP NEAR SALUDA, VA
USGS	01669810	HEALYS POND TRIB NEAR HARMONY VILLAGE, VA
USGS	01669850	QUEENS CREEK NEAR BLAKES, VA
USGS	0166988453	BURKE MILL STREAM AT RT 602 AT DUTTON, VA
USGS	01669885	NORTH END BRANCH TRIB NEAR NORTH, VA
USGS	01670000	BEAVERDAM SWAMP NEAR ARK, VA
USGS	01670010	BEAVERDAM SWAMP TRIB NO 2 AT ARK, VA
USGS	01670020	BEAVERDAM SWAMP AT GLOUCESTER, VA
USGS	01670033	FOX MILL RUN AT RT 616 NEAR GLOUCESTER, VA
USGS	01670060	WARE RIVER AT WARE RIVER YACHT CLUB NR NAXERA, VA
USGS	01670064	NORTHWEST BRANCH SEVERN RIVER AT WHITE MARSH, VA
USGS	01670080	SEVERN RIVER BELOW WHITTAKER CREEK NEAR SEVERN, VA
USGS	01670100	MOUNTAIN RUN TRIB NEAR GORDONSVILLE, VA
USGS	01670120	MOUNTAIN RUN AT RT 643 NEAR GORDONSVILLE, VA
USGS	01670122	NEGRO RUN AT GORDONSVILLE, VA
USGS	01670125	NEGRO RUN BELOW RT 648 NEAR GORDONSVILLE, VA
USGS	01670130	NEGRO RUN NR GORDONSVILLE, VA
USGS	01670140	BEAVER CREEK NEAR DANIEL, VA
USGS	01670145	GOLD MINE CREEK TRIB TRIB TRIB AT LOUSIA, VA
USGS	01670150	CHURCH RUN NEAR ORANGE, VA
USGS	01670160	TOMAHAWK CREEK NR ORANGE, VA
USGS	01670165	PAMUNKEY CREEK NEAR LAHORE, VA
USGS	01670170	CLEAR CREEK AT LAHORE, VA
USGS	01670180	PAMUNKEY CREEK AT LAHORE, VA
USGS	01670200	PAMUNKEY CREEK AT RT 651 NEAR LAHORE, VA
USGS	01670205	PAMUNKEY CREEK AT RT 522 AT LAKE ANNA, VA
USGS	01670220	ROCKY RUN NEAR MINE RUN, VA
USGS	01670224	TERRYS RUN NR VULCAN NR TATUM, VA
USGS	01670226	TERRYS RUN AT RT 624 NR TATUM, VA
USGS	01670230	TERRYS RUN NEAR TATUM, VA
USGS	01670235	PLEASANT RUN NEAR TATUM, VA
USGS	01670250	PLENTIFUL CREEK AT RT 653 AT BELMONT, VA
USGS	01670300	CONTRARY CREEK NEAR MINERAL, VA
USGS	01670320	FRESHWATER CREEK AT MINERAL, VA
USGS	01670400	NORTH ANNA RIVER NEAR PARTLOW, VA
USGS	01670435	NORTHEAST CREEK AT RT 622 NEAR PARTLOW, VA
USGS	01670470	NORTH ANNA RIVER AT RT 738 NEAR BEAVERDAM, VA
USGS	01670500	NORTH ANNA RIVER NEAR HEWLETT, VA
USGS	01670600	NORTH ANNA RIVER BELOW LAKE ANNA NR HEWLETT, VA
USGS	01670800	NORTH ANNA RIVER NEAR RUTHER GLEN, VA
USGS	01671000	NORTH ANNA RIVER NEAR DOSWELL, VA
USGS	01671005	NORTH ANNA RIVER NEAR CHANDLER CROSSING, VA
USGS	01671020	NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA
USGS	01671025	NORTH ANNA RIVER ABOVE LITTLE RIVER NR DOSWELL, VA
USGS	01671040	LONG CREEK AT RT 655 NEAR BUCKNER, VA
USGS	01671100	LITTLE RIVER NEAR DOSWELL, VA
USGS	01671110	LITTLE RIVER AT RT 688 NEAR DOSWELL, VA
USGS	01671120	LITTLE RIVER AT U.S. HWY 1 NEAR ASHLAND, VA
USGS	01671125	LITTLE RIVER AT RT 689 AT TAYLORSVILLE, VA
USGS	01671130	LITTLE RIVER AT MOUTH NEAR ASHLAND, VA
USGS	01671150	NORTH ANNA RIVER ABOVE MOUTH NR ASHLAND, VA
USGS	01671160	NORTH ANNA RIVER AB SOUTH ANNA RIV NR ASHLAND, VA
USGS	01671200	SOUTH ANNA RIVER NEAR GORDONSVILLE, VA
USGS	01671210	SOUTH ANNA RIVER AT RT 603 NR BOSWELLS TAVERN, VA
USGS	01671230	BOWLER CREEK NEAR LINDSAY, VA
USGS	01671270	LICKINGHOLE CR BL IZAC LK NR BOSWELLS TAVERN, VA
USGS	01671300	SOUTH ANNA RIVER NEAR POINDEXTER, VA
USGS	01671425	BUNCH CREEK NEAR THELMA, VA
USGS	01671500	BUNCH CREEK NEAR BOSWELLS TAVERN, VA
USGS	01671600	CAMP CREEK AT POINDEXTER, VA
USGS	01671615	FOSTERS CREEK NEAR FERNCLIFF, VA
USGS	01671650	WALDROP CREEK NEAR LOUISA, VA
USGS	01671680	SOUTH ANNA RIVER AT RT 208 NEAR LOUISA, VA
USGS	01671700	SOUTH ANNA RIVER NEAR LOUISA, VA
USGS	01671750	HARRIS CREEK NEAR TREVILIANS, VA
USGS	01671800	HARRIS CREEK NEAR LOUISA, VA
USGS	01671842	SOUTH ANNA RIVER AT RT 646 NEAR CUCKOO, VA
USGS	01671910	NORTHEAST CREEK TRIB 1 NEAR MINERAL, VA
USGS	01671912	NORTHEAST CREEK ABOVE TRIB 2 NEAR MINERAL, VA
USGS	01671915	NORTHEAST CREEK TRIB 2 NEAR MINERAL, VA
USGS	01671918	NORTHEAST CREEK TRIB 2 (AT MOUTH) NR MINERAL, VA
USGS	01671922	NORTHEAST CREEK TRIB 3 NEAR MINERAL, VA
USGS	01671925	NORTHEAST CREEK AT RT 33 NEAR MINERAL, VA
USGS	01671930	DESPER CREEK (NR MOUTH) NEAR MINERAL, VA
USGS	01671950	DEEP CREEK AT RT 640 NEAR APPLE GROVE, VA
USGS	01672000	SOUTH ANNA RIVER AT VONTAY, VA
USGS	01672200	TAYLORS CREEK AT RT 715 NEAR MONTPELIER, VA
USGS	01672270	TAYLORS CREEK AT RT 673 NEAR MONTPELIER, VA
USGS	01672400	SOUTH ANNA RIVER TRIB NO 6 NEAR ASHLAND, VA
USGS	01672500	SOUTH ANNA RIVER NEAR ASHLAND, VA
USGS	01672520	SOUTH ANNA RIVER AT RT 686 NEAR ASHLAND, VA
USGS	01672530	SOUTH ANNA RIVER AT RT 667 NEAR ASHLAND, VA
USGS	01672800	NEWFOUND RIVER AT RT 685 NEAR ASHLAND, VA
USGS	01672820	NEWFOUND RIVER AT RT 667 NEAR ASHLAND, VA
USGS	01672850	SOUTH ANNA RIVER AT U.S. HWY 1 NEAR ASHLAND, VA
USGS	01672854	FALLING CREEK AT U.S. HWY 1 NEAR ASHLAND, VA
USGS	01672860	SOUTH ANNA RIVER BELOW I-95 NEAR ASHLAND, VA
USGS	01672865	SOUTH ANNA RIVER AT RT 738 NEAR ASHLAND, VA
USGS	01672870	SOUTH ANNA RIVER AB NORTH ANNA RIV NR ASHLAND, VA
USGS	01672875	PAMUNKEY RIVER AT WICKHAM CROSSING NR HANOVER, VA
USGS	01672880	PAMUNKEY RIVER ABOVE U.S. HWY 301 NEAR HANOVER, VA
USGS	01672885	PAMUNKEY RIVER AT U.S. HWY 301 NEAR HANOVER, VA
USGS	01672900	PAMUNKEY RIVER TRIB NO 1 NEAR HANOVER, VA
USGS	01673000	PAMUNKEY RIVER NEAR HANOVER, VA
USGS	0167300055	MECHUMPS CREEK AT HILL CARTER PKWY AT ASHLAND, VA
USGS	01673010	MECHUMPS CREEK AT U.S. HWY 301 AT HANOVER, VA
USGS	0167301510	CRUMP CREEK NEAR HENRY CLAY HEIGHTS, VA
USGS	01673020	CRUMP CREEK AT RT 605 NEAR CROSSES CORNER, VA
USGS	01673025	PAMUNKEY RIVER AT RT 615 NEAR STUDLEY, VA
USGS	01673050	PAMUNKEY RIVER 2.0 MI BELOW RT 615 NR STUDLEY, VA
USGS	0167306050	PAMUNKEY RIVER TRIBUTARY 2 NEAR STUDLEY, VA
USGS	01673100	PAMUNKEY RIVER ABOVE MANTILO BRANCH NR STUDLEY, VA
USGS	01673150	PAMUNKEY RIVER BELOW MANTILO BRANCH NR STUDLEY, VA
USGS	01673200	PAMUNKEY RIVER BELOW MEHIXEN CREEK NR ENFIELD, VA
USGS	01673250	PAMUNKEY RIVER ABOVE JUDY SWAMP NEAR ENFIELD, VA
USGS	01673300	PAMUNKEY RIVER OFF RT 605 NEAR ENFIELD, VA
USGS	01673350	PAMUNKEY RIVER ABOVE TOTOPOTOMOY CR NR MANQUIN, VA
USGS	01673500	TOTOPOTOMOY CREEK NEAR ATLEE, VA
USGS	0167353310	TOTOPOTOMOY CREEK TRIBUTARY NEAR STUDLEY, VA
USGS	01673550	TOTOPOTOMOY CREEK NEAR STUDLEY, VA
USGS	01673560	TOTOPOTOMY CREEK NEAR MANQUIN, VA
USGS	01673570	PAMUNKEY RIVER AT U.S. HWY 360 NEAR MANQUIN, VA
USGS	0167357970	MONCUIN CREEK BELOW US HWY 360 NEAR MANQUIN, VA
USGS	0167358250	MONCUIN CREEK TRIB TO TRIB 1 NEAR MANQUIN, VA
USGS	0167359750	PARSLEYS CREEK TRIBUTARY NEAR OLD CHURCH, VA
USGS	01673600	MATADEQUIN CREEK NEAR TUNSTALL, VA
USGS	01673610	CLOPTON SWAMP TRIB AB KENWOOD STP NR QUINTON, VA
USGS	01673618	ACQUINTON CREEK AT RT 600 NEAR KING WILLIAM, VA
USGS	01673620	ACQUINTON CREEK NEAR KING WILLIAM, VA
USGS	01673622	ACQUINTON CREEK AT RT 632 AT PALLS, VA
USGS	01673629	PAMUNKEY RIVER AT WHITE HOUSE, VA
USGS	01673638	COHOKE MILL CREEK NEAR LESTER MANOR, VA
USGS	01673650	PAMUNKEY RIVER AT WEST POINT, VA
USGS	01673700	CATHARPIN RUN AT RT 608 NEAR BROKENBURG, VA
USGS	01673800	PO RIVER NEAR SPOTSYLVANIA, VA
USGS	01673855	NI RIVER AT RT 208 NEAR SPOTSYLVANIA, VA
USGS	01673900	PONI RIVER TRIB NO 1 NEAR GUINEA, VA
USGS	01673941	TA RIVER AT RT 738 NEAR SNELL, VA
USGS	01673960	MAT RIVER NEAR MARYE, VA
USGS	0167399466	REYNOLDS RN 80YD BLW JEFF DAVIS DR NR WOODFORD, VA
USGS	0167399476	REYNOLDS RN TRIB2 BL JEFF DAVIS DR NR WOODFORD, VA
USGS	0167399486	REYNOLDS RUN BELOW TRIBUTARY 2 NEAR WOODFORD, VA
USGS	01674000	MATTAPONI RIVER NEAR BOWLING GREEN, VA
USGS	01674040	SOUTH RIVER AT I-95 NEAR LADYSMITH, VA
USGS	01674100	MOTTO RIVER TRIB NEAR CEDON, VA
USGS	0167414450	MAYS RUN TRIBUTARY AT ROUTE 638, NEAR MILFORD, VA
USGS	01674150	MATTAPONI RIVER AT RT 207 NEAR BOWLING GREEN, VA
USGS	01674160	POLECAT CREEK AT CEDAR FORK, VA
USGS	01674165	POLECAT CREEK AT I-95 NEAR GOLENSVILLE, VA
USGS	01674170	POLECAT CREEK TRIBUTARY NEAR RUTHER GLEN, VA
USGS	01674171	POLECAT CREEK TRIBUTARY NEAR GOLANSVILLE, VA
USGS	01674172	POLECAT CREEK NEAR LADYSMITH, VA
USGS	01674174	STEVENS MILL RUN AT GOLANSVILLE, VA
USGS	01674175	STEVENS MILL RUN AT I-95 NEAR LADYSMITH, VA
USGS	01674180	POLECAT CREEK AT PENOLA, VA
USGS	01674182	POLECAT CREEK AT ROUTE 301 NEAR PENOLA, VA
USGS	0167419910	REEDY CREEK TRIBUTARY TO TRIBUTARY NEAR PENOLA, VA
USGS	01674200	REEDY CREEK NEAR DAWN, VA
USGS	01674250	MARACOSSIC CREEK AT SPARTA, VA
USGS	01674260	JACKS CREEK TRIB AT RT 630 AT SPARTA, VA
USGS	0167428850	UNNAMED TRIB TO MARACOSSIC CREEK NEAR SPARTA, VA
USGS	01674300	MARACOSSIC CREEK ABOVE BEVERLY RUN NR GETHER, VA
USGS	01674350	BEVERLY RUN AT RT 630 NEAR ALPS, VA
USGS	0167437550	KING AND QUEEN SWAMP TRIBUTARY AT ELEVON, VA
USGS	01674400	BEVERLY RUN AT RT 721 NEAR ALPS, VA
USGS	01674500	MATTAPONI RIVER NEAR BEULAHVILLE, VA
USGS	0167453580	BEAVER BRANCH NEAR TAPPAHANNOCK, VA
USGS	01674580	HERRING CREEK AB CAROLINE UNIT 2 STP NR DAWN, VA
USGS	01674600	HERRING CREEK NEAR AYLETT, VA
USGS	01674640	HERRING CREEK AT RT 600 NEAR AYLETT, VA
USGS	01674650	MATTAPONI RIVER AT U.S. HWY 360 AT AYLETT, VA
USGS	01674700	AYLETT CREEK AT AYLETT, VA
USGS	01674740	MATTAPONI RIVER AT WALKERTON, VA
USGS	01674800	DICKEYS SWAMP AT RT 14 NR ST. STEPHENS CHURCH, VA
USGS	01674805	DICKEYS SWAMP NEAR STEVENSVILLE, VA
USGS	01675395	TASTINE SWAMP AT RT 603 AT FORK SHOP, VA
USGS	01675550	GLEBE SWAMP NEAR SHACKLEFORDS, VA
USGS	01676000	MATTAPONI RIVER AT WEST POINT, VA
USGS	01676129	YORK RIVER AT WEST POINT, VA
USGS	01677000	WARE CREEK NEAR TOANO, VA
USGS	01677100	FRANCE SWAMP NEAR TOANO, VA
USGS	01677200	SKIMINO CREEK BL BARLOWS POND NR LIGHTFOOT, VA
USGS	01677621	YORK RIVER AT GLOUCESTER POINT, VA
USGS	01677900	MOORES CREEK NEAR POQUOSON, VA
USGS	0167862550	BRICK KILN CREEK BELOW ROUTE 172 NEAR POQUOSON, VA
USGS	0167885050	UNNAMED TRIB TO NEWMARKET CREEK AT HAMPTON, VA
USGS	0167892964	NEWMARKET CREEK AT MERCURY BLVD AT HAMPTON, VA
USGS	02002000	JACKSON RIVER AT US HWY 220 AT VANDERPOOL, VA
USGS	02009500	CATTAIL RUN NEAR BOLAR, VA
USGS	02010220	JACKSON RIVER AT RT 220 NEAR BOLAR, VA
USGS	02011010	WARM SPRINGS RUN ABOVE STP AT WARM SPRINGS, VA
USGS	02011400	JACKSON RIVER NEAR BACOVA, VA
USGS	02011405	JACKSON RIVER NEAR BACOVA JUNCTION, VA
USGS	02011440	BACK CREEK AT ROUTE 84 NEAR MUSTOE, VA
USGS	0201144558	WARWICK RUN ABOVE LICK DRAFT NEAR MILL GAP, VA
USGS	0201144806	WARWICK RUN BELOW LICK DRAFT NEAR MILL GAP, VA
USGS	02011449	BACK CREEK BELOW WARWICK RUN NEAR MILL GAP, VA
USGS	02011460	BACK CREEK NEAR SUNRISE, VA
USGS	02011470	BACK CREEK AT SUNRISE, VA
USGS	02011480	BACK CREEK ON ROUTE 600, NEAR MOUNTAIN GROVE, VA
USGS	02011490	LITTLE BACK CREEK NEAR SUNRISE, VA
USGS	02011500	BACK CREEK NEAR MOUNTAIN GROVE, VA
USGS	02011510	BACK CREEK NEAR BACOVA JUNCTION, VA
USGS	02011795	LAKE MOOMAW NEAR HOT SPRINGS, VA
USGS	02011798	GATHRIGHT DAM SEEPAGE NEAR HOT SPRINGS, VA
USGS	02011799	JACKSON RIVER ABOVE SPRING NEAR HOT SPRINGS, VA
USGS	02011800	JACKSON RIVER BL GATHRIGHT DAM NR HOT SPGS, VA
USGS	02011830	HOT SPRINGS RUN AT BACOVA JUNCTION, VA
USGS	02012000	FALLING SPRING CREEK NEAR FALLING SPRING, VA
USGS	02012168	FALLING SPRING CR BL FALLS NEAR FALLING SPRING, VA
USGS	02012363	FALLING SPRING CR AT RT 640 AT FALLING SPRING, VA
USGS	02012500	JACKSON RIVER AT FALLING SPRING, VA
USGS	02012800	JACKSON RIV AT FILTRATION PLANT AT COVINGTON, VA
USGS	02012900	JACKSON RIVER AT COVINGTON, VA
USGS	02012950	SWEET SPRINGS CREEK TRIB AT SWEET CHALYBEATE, VA
USGS	02012980	JERRYS RUN NEAR ALLEGHANY, VA
USGS	02012993	OGLE CR AT TANGELWOOD OUTFALL NR CALLAGHAN, VA
USGS	02013000	DUNLAP CREEK NEAR COVINGTON, VA
USGS	02013080	JACKSON RIVER BELOW U.S. HWY 60 AT COVINGTON, VA
USGS	02013100	JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA
USGS	02014000	POTTS CREEK NEAR COVINGTON, VA
USGS	02014250	POUNDING MILL CREEK AT RT 60 AT COVINGTON, VA
USGS	02014500	SMITH CREEK ABOVE OLD DAM NEAR CLIFTON FORGE, VA
USGS	02015000	SMITH CREEK NEAR CLIFTON FORGE, VA
USGS	02015075	SMITH CREEK ABOVE DRY CREEK AT CLIFTON FORGE, VA
USGS	02015200	JACKSON RIVER AT CLIFTON FORGE, VA
USGS	02015250	WILSON CREEK AB DOUTHAT LAKE NR CLIFTON FORGE, VA
USGS	02015300	WILSON CREEK AT TUKES STP NEAR LONGDALE, VA
USGS	02015600	COWPASTURE RIVER NEAR HEAD WATERS, VA
USGS	02015700	BULLPASTURE RIVER AT WILLIAMSVILLE, VA
USGS	02015720	COURSEY SPRING NEAR WILLIAMSVILLE, VA
USGS	02015729	COWPASTURE RIVER AT ROUTE 627 NR WILLIAMSVILLE, VA
USGS	02015742	COWPASTURE RIVER AT ROUTE 678 NR GREEN VALLEY, VA
USGS	02015800	THOMPSON CREEK AT RT 39 NEAR BATH ALUM, VA
USGS	02015850	STUART RUN ABOVE LICK RUN AT MILLBORO SPRINGS, VA
USGS	02015900	JERRY BRANCH NEAR CLIFTON FORGE, VA
USGS	02015930	PADS CREEK NEAR LONGDALE FURNACE, VA
USGS	02016000	COWPASTURE RIVER NEAR CLIFTON FORGE, VA
USGS	02016500	JAMES RIVER AT LICK RUN, VA
USGS	02016550	SINKING CREEK ABOVE RT 220 AT GALA, VA
USGS	0201655975	MILL CREEK AT ROUTE 694 AT GALA, VA
USGS	02016560	MILL CREEK AT RT 220 AT GALA, VA
USGS	02016600	CRAIG CR AB MUDDY BRANCH NR MCDONALDS MILL, VA
USGS	02016800	MEADOW CREEK AT RT 624 NEAR NEW CASTLE, VA
USGS	02017000	MEADOW CREEK AT NEW CASTLE, VA
USGS	02017300	CRAIG CREEK AT NEW CASTLE, VA
USGS	02017400	JOHNS CREEK TRIB NEAR NEW CASTLE, VA
USGS	02017500	JOHNS CREEK AT NEW CASTLE, VA
USGS	02017700	CRAIG CREEK TRIB NEAR NEW CASTLE, VA
USGS	02018000	CRAIG CREEK AT PARR, VA
USGS	02018300	CRAIG CREEK AT EAGLE ROCK, VA
USGS	02018310	JAMES RIVER TRIB NO 3 AT EAGLE ROCK, VA
USGS	02018410	CATAWBA CR TRIBUTARY BELOW RT 779 AT CATAWBA, VA
USGS	02018500	CATAWBA CREEK NEAR CATAWBA, VA
USGS	02018700	CAMPBELL BRANCH NEAR FINCASTLE, VA
USGS	02018800	NORTH FORK NEAR FINCASTLE, VA
USGS	02018810	CROOKED RUN AT LAKE OUTFALL NEAR FINCASTLE , VA
USGS	02018850	BORDEN CREEK NEAR FLATWOODS, VA
USGS	02019000	CATAWBA CREEK NEAR FINCASTLE, VA
USGS	02019100	SPREADING SPRING BRANCH AT SPRINGWOOD, VA
USGS	02019400	MILL CREEK NEAR BUCHANAN, VA
USGS	02019480	LOONEY CREEK AT RT 625 NEAR BUCHANAN, VA
USGS	02019485	LONG RUN AT RT 625 NEAR BUCHANAN, VA
USGS	02019500	JAMES RIVER AT BUCHANAN, VA
USGS	02020100	RENICK RUN NEAR BUCHANAN, VA
USGS	02020139	CEDAR CREEK AT ROUTE 608 NEAR NATURAL BRIDGE, VA
USGS	02020170	E F ELK CR AT BELFAST TRAIL NR NATURAL BRIDG, VA
USGS	02020180	E F ELK CREEK AT RT 759 NR NATURAL BRIDGE, VA
USGS	02020200	CALFPASTURE RIVER NEAR WEST AUGUSTA, VA
